Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;;710,37;694,17;669,80;;689,81;661,37;656,95;678,57;;;673,54
2;;714,44;694,82;;659,34;693,61;;657,47;680,28;;651,18;674,76
3;;713,54;688,48;;660,88;691,36;;654,76;;658,02;653,55;
4;710,16;709,43;686,64;671,24;667,89;;659,64;657,21;;658,59;650,72;
5;716,94;698,49;;669,55;670,36;;659,26;657,36;675,43;662,29;;672,58
6;715,08;;;674,93;667,43;683,27;661,29;;673,61;664,86;;668,90
7;715,84;;681,39;676,62;;680,55;664,51;;669,49;666,97;654,87;662,05
8;721,31;700,02;681,63;680,79;;679,85;664,06;656,98;660,95;;654,66;
9;;709,75;682,00;;666,89;673,14;;654,79;661,93;;651,32;656,07
10;;715,41;678,72;;670,97;678,18;;653,06;;;650,95;
11;723,31;711,34;678,22;682,45;677,20;;661,50;649,29;;667,93;656,36;
12;729,78;713,47;;682,16;678,50;;657,84;645,22;670,61;667,47;;653,55
13;730,28;;;674,58;682,55;683,67;657,82;;674,18;667,19;;649,40
14;726,57;;683,00;670,80;;685,00;658,20;;672,97;670,88;663,23;650,25
15;725,98;708,63;684,74;668,38;;688,34;650,92;;674,93;;668,29;654,94
16;;701,39;685,98;;689,34;685,89;;648,31;671,36;;668,93;663,68
17;;704,92;688,11;;692,52;689,83;;649,01;;670,37;675,77;
18;730,31;705,44;672,06;666,60;692,77;;650,58;657,46;;670,61;674,38;
19;730,20;700,74;;666,00;691,32;;650,84;656,05;;668,47;;670,16
20;726,19;;;657,90;696,96;685,64;651,53;;674,67;667,41;;677,11
21;729,22;;671,97;660,38;;679,80;651,43;;672,73;666,74;678,28;676,09
22;726,63;702,38;677,52;660,34;;676,03;650,09;660,94;666,89;;675,39;672,24
23;;693,78;677,42;;692,19;672,80;;667,31;657,32;;674,37;674,96
24;;693,23;677,16;;693,89;669,88;;668,57;;667,09;679,24;
25;715,63;698,47;;666,80;692,87;;650,78;671,49;;660,38;677,56;
26;717,46;691,36;;668,36;692,24;;656,33;665,94;659,71;653,98;;673,48
27;720,14;;;669,01;687,34;;661,04;;662,34;653,62;;672,69
28;716,21;;682,36;668,49;;680,21;664,94;;661,96;651,65;678,03;673,73
29;711,72;689,18;680,84;663,40;;674,16;664,94;662,93;662,27;;675,91;673,06
30;;;683,16;;687,43;661,49;;671,32;659,08;;675,48;667,29
31;;;675,10;;690,27;;;673,17;;;;
Promedio;721,95;704,08;682,07;669,93;681,87;681,07;657,57;658,89;668,63;663,92;666,12;667,17
