,Location,Average Salary by Location ($CLP),Occupation,Average Salary for Each Occupation by Location($CLP),Average National Salary for Each Occupation ($CLP)
0,"Inner Mission & Castro PUMA, CA",194963207.6774639,Surgeons,1157392427.281106,571660495.1726127
1,"Battery Park City, Greenwich Village & Soho PUMA, NY",191764956.9289169,Dentists,1351998168.0,258225172.68799314
2,"Chelsea, Clinton & Midtown Business District PUMA, NY",185196292.27409124,Other financial specialists,1351998221.562914,198319233.27190593
3,"Cupertino, Saratoga Cities & Los Gatos Town PUMA, CA",172638531.02849323,Industrial production managers,1157392402.2295084,156312696.47488225
4,"Essex County (Northwest) PUMA, NJ",170110140.37873933,Insurance sales agents,1304883219.8709679,108894176.09057176
5,"Upper East Side PUMA, NY",169031952.83723152,Dentists,1351998168.0,258225172.68799314
6,"San Mateo (North), Burlingame & Millbrae Cities PUMA, CA",167416976.60970047,"Models, demonstrators, & product promoters",1157392395.6000001,24444275.858794224
7,"Stamford & Greenwich Towns PUMA, CT",166373080.5170293,Surgeons,1470810178.5263157,571660495.1726127
8,"Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA, MA",166030734.68255636,Other financial specialists,1270058923.7894738,198319233.27190593
9,"Murray Hill, Gramercy & Stuyvesant Town PUMA, NY",165428029.99621972,Personal financial advisors,1099243197.5856574,224327492.92839324
10,"Summit City & Westfield Town (North) PUMA, NJ",165026808.1988016,Surgeons,1304883234.9230769,571660495.1726127
11,"Menlo Park, East Palo Alto Cities & Atherton Town PUMA, CA",164998404.63730243,"Miscellaneous social scientists, including survey researchers & sociologists",1157392408.6451612,96366489.6275662
12,"Tenafly, Park Ridge & Cresskill Boroughs PUMA, NJ",164418625.87410343,Supervisors of transportation & material moving workers,1304883171.5555556,93376850.9302595
13,"Westchester County (Southeast) PUMA, NY",163196435.56285802,"Purchasing agents, except wholesale, retail, & farm products",1351998168.0,105279488.32239036
14,"Rancho Santa Margarita City (East) & Ladera Ranch PUMA, CA",163101145.23280048,Firstline supervisors of housekeeping & janitorial workers,1157392467.6164382,61544558.4797726
15,"Upper West Side & West Side PUMA, NY",161923778.67559987,Technical writers,1351998168.0,114793719.14882794
16,"Somerset County (North & West) PUMA, NJ",161884500.775902,Network and computer systems administrators,1304883189.1764708,141703059.05363485
17,"Westchester County (Northeast) PUMA, NY",161868995.5527075,Insurance underwriters,1351998238.3304348,132720045.10173878
18,"San Ramon City & Danville Town PUMA, CA",161646086.1406898,Other financial specialists,830948428.0615386,198319233.27190593
19,"Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA, CA",160875209.85738832,Computer hardware engineers,1157392438.9285715,184268510.8665479
20,"Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA, CA",157443664.42085794,"Business operations specialists, all other",1157392459.4526315,121531236.01207739
21,"Mountain View, Palo Alto & Los Altos Cities PUMA, CA",157217221.9115623,Compensation & benefits managers,1157392438.9285715,159691261.37330705
22,"Essex County (Southwest) PUMA, NJ",157004848.9368759,Database administrators and architects,798908087.1428573,160590098.08927423
23,"Ridgewood Village, Glen Rock & Westwood Boroughs PUMA, NJ",155543497.62006536,"Farmers, ranchers, & other agricultural managers",1304883153.6716418,41993217.22581125
24,"Bethesda, Potomac & North Bethesda PUMA, MD",154169185.13145703,Natural sciences managers,870278367.8695652,175998132.0858239
25,"McLean & Idylwood PUMA, VA",152422040.05347806,Fundraisers,1024241067.0,105716298.90259945
26,"Ashburn (Southwest/Belmont Ridge) & Dulles Airport PUMA, VA",152371103.89753485,Other financial specialists,1024241067.0,198319233.27190593
27,"Redwood City, San Carlos & Belmont Cities PUMA, CA",152253300.9376724,Social & human service assistants,1157392426.7076921,62071962.89809992
28,"Morristown Town, Madison & Florham Park Boroughs PUMA, NJ",151840517.4915166,Social & community service managers,1304883131.8554215,109007660.97080216
29,"Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA, CA",151660987.03151035,Optometrists,1157392401.5763547,184080141.33135125
30,"Olney, Damascus, Clarksburg & Darnestown PUMA, MD",150226773.0187801,Lodging managers,1028338046.9473685,90269501.88680838
31,"North Hempstead Town (North) PUMA, NY",149641419.28724396,Economists,1351998168.0,231888052.86483282
32,"South of I-10 & Inside Loop I-610 PUMA, TX",148548690.37233445,Nurse anesthetists,958689670.5882354,278728431.6744965
33,"Northfield & New Trier Townships PUMA, IL",147786127.80224907,Cardiovascular technologists and technicians,1112325879.3253012,155301057.0999721
34,"San Rafael (South), Mill Valley & Sausalito Cities PUMA, CA",147511112.03398335,Surgeons,1157392451.3793101,571660495.1726127
35,"Arlington County (North) PUMA, VA",146876926.79616708,Credit counselors & loan officers,1024241062.8049793,137235832.17932606
36,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA, CT",146698652.11052537,Financial analysts,977050414.4111733,201459377.03718996
37,"Brooklyn Heights & Fort Greene PUMA, NY",146489480.7078787,Actuaries,1351998168.0,265049587.04010835
38,"Somerset County (South) PUMA, NJ",146354930.49602968,Surgeons,1304883209.0,571660495.1726127
39,"North Hempstead Town (South) PUMA, NY",146289575.7642154,Nuclear medicine technologists and medical dosimetrists,1351998168.0,268817089.05138195
40,"Livermore, Pleasanton & Dublin Cities PUMA, CA",145666650.09894437,Surgeons,1157392443.1764708,571660495.1726127
41,"Palos Verdes Peninsula PUMA, CA",145453505.54642072,Other financial clerks,1157392432.3636365,154601498.81592458
42,"San Mateo (South) & Half Moon Bay Cities PUMA, CA",145061337.33740938,Healthcare social workers,1157392448.3478262,81870323.91335192
43,"New Rochelle & Mount Vernon Cities PUMA, NY",145047419.69329208,Credit counselors & loan officers,1351998168.0,137235832.17932606
44,"Ramsey, Oakland & Franklin Lakes Boroughs PUMA, NJ",144288345.90878767,Other financial specialists,1304883171.5555556,198319233.27190593
45,"Norwalk, Westport & Darien Towns PUMA, CT",143896147.83424485,Magnetic resonance imaging technologists,1470810163.7014925,203515513.71080974
46,"Oyster Bay Town (North) & Glen Cove City PUMA, NY",143683506.43505767,Advertising sales agents,1351998168.0,119342434.38657989
